"chart","year","rank","title","artist","image"
"top-artists","2008","33","","Daughtry","https://charts-static.billboard.com/img/1840/12/daughtry-c5r-53x53.jpg"
"top-artists","2008","34","","George Strait","https://charts-static.billboard.com/img/2016/12/george-strait-53x53.jpg"
"top-artists","2008","35","","Rascal Flatts","https://charts-static.billboard.com/img/2017/06/rascal-flatts-53x53.jpg"
"top-artists","2008","36","","Kenny Chesney","https://charts-static.billboard.com/img/2017/06/kenny-chesney-53x53.jpg"
"top-artists","2008","37","","Plies","https://charts-static.billboard.com/img/2007/12/plies-yvr-53x53.jpg"
"top-artists","2008","38","","The-Dream","https://charts-static.billboard.com/img/2008/12/the-dream-8ca-53x53.jpg"
"top-artists","2008","39","","Eagles","https://charts-static.billboard.com/img/2017/08/eagles-53x53.jpg"
"top-artists","2008","40","","Brad Paisley","https://charts-static.billboard.com/img/2017/05/brad-paisley-53x53.jpg"
"top-artists","2008","41","","Jason Mraz","https://charts-static.billboard.com/img/1840/12/jason-mraz-5w0-53x53.jpg"
"top-artists","2008","42","","Soulja Boy Tell'em","https://charts-static.billboard.com/img/2007/12/soulja-boy-4vz-53x53.jpg"
"top-artists","2008","43","","Young Jeezy","https://charts-static.billboard.com/img/2006/12/young-jeezy-ows-53x53.jpg"
"top-artists","2008","44","","Sean Kingston","https://charts-static.billboard.com/img/2007/12/sean-kingston-qzx-53x53.jpg"
"top-artists","2008","45","","Akon","https://charts-static.billboard.com/img/2006/12/akon-5il-53x53.jpg"
"top-artists","2008","46","","Madonna","https://charts-static.billboard.com/img/2017/05/madonna-53x53.jpg"
"top-artists","2008","47","","Paramore","https://charts-static.billboard.com/img/2008/12/paramore-teo-53x53.jpg"
"top-artists","2008","48","","Linkin Park","https://charts-static.billboard.com/img/2017/08/linkin-park-53x53.jpg"
"top-artists","2008","49","","Finger Eleven","https://charts-static.billboard.com/img/2007/12/finger-eleven-7ug-53x53.jpg"
"top-artists","2008","50","","Garth Brooks","https://charts-static.billboard.com/img/1989/12/garth-brooks-slp-artist-chart-5k3-53x53.jpg"
"top-artists","2009","1","","Taylor Swift","https://charts-static.billboard.com/img/2006/12/taylor-swift-p7u-artist-chart-ylp-53x53.jpg"
"top-artists","2009","2","","Beyonce","https://charts-static.billboard.com/img/2006/12/beyonce-000-artist-chart-cci-53x53.jpg"
"top-artists","2009","3","","Lady Gaga","https://charts-static.billboard.com/img/2017/05/lady-gaga-53x53.jpg"
"top-artists","2009","4","","The Black Eyed Peas","https://charts-static.billboard.com/img/1840/12/the-black-eyed-peas-99h-53x53.jpg"
"top-artists","2009","5","","Miley Cyrus","https://charts-static.billboard.com/img/2017/06/miley-cyrus-53x53.jpg"
"top-artists","2009","6","","Kanye West","https://charts-static.billboard.com/img/2017/04/kanye-west-53x53.jpg"
"top-artists","2009","7","","Britney Spears","https://charts-static.billboard.com/img/2017/02/britney-spears-53x53.jpg"
"top-artists","2009","8","","T.I.","https://charts-static.billboard.com/img/2017/07/ti-53x53.jpg"
"top-artists","2009","9","","Nickelback","https://charts-static.billboard.com/img/2006/12/nickelback-v3l-artist-chart-nkg-53x53.jpg"
"top-artists","2009","10","","P!nk","https://charts-static.billboard.com/img/2017/04/pnk-53x53.jpg"
"top-artists","2009","11","","Kings Of Leon","https://charts-static.billboard.com/img/2009/12/kings-of-leon-o0f-53x53.jpg"
"top-artists","2009","12","","Katy Perry","https://charts-static.billboard.com/img/2008/12/katy-perry-l8p-53x53.jpg"
"top-artists","2009","13","","Flo Rida","https://charts-static.billboard.com/img/2008/12/flo-rida-8v1-53x53.jpg"
"top-artists","2009","14","","Kelly Clarkson","https://charts-static.billboard.com/img/2006/12/kelly-clarkson-tcv-artist-chart-0a3-53x53.jpg"
"top-artists","2009","15","","Jason Mraz","https://charts-static.billboard.com/img/1840/12/jason-mraz-5w0-53x53.jpg"
"top-artists","2009","16","","The Fray","https://charts-static.billboard.com/img/2016/11/the-fray-53x53.jpg"
"top-artists","2009","17","","Ne-Yo","https://charts-static.billboard.com/img/2006/12/ne-yo-kuu-artist-chart-q47-53x53.jpg"
"top-artists","2009","18","","Lil Wayne","https://charts-static.billboard.com/img/2017/08/lil-wayne-53x53.jpg"
"top-artists","2009","19","","Rascal Flatts","https://charts-static.billboard.com/img/2017/06/rascal-flatts-53x53.jpg"
"top-artists","2009","20","","Zac Brown Band","https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?472a790e67f42f9b25d0"
"top-artists","2009","21","","Pitbull","https://charts-static.billboard.com/img/2017/06/pitbull-53x53.jpg"
"top-artists","2009","22","","Rihanna","https://charts-static.billboard.com/img/2006/12/rihanna-t38-artist-chart-vji-53x53.jpg"
"top-artists","2009","23","","Jamie Foxx","https://charts-static.billboard.com/img/2006/12/jamie-foxx-hji-53x53.jpg"
"top-artists","2009","24","","Eminem","https://charts-static.billboard.com/img/2017/02/eminem-53x53.jpg"
"top-artists","2009","25","","The All-American Rejects","https://charts-static.billboard.com/img/2006/12/the-all-american-rejects-yky-53x53.jpg"
"top-artists","2009","26","","Drake","https://charts-static.billboard.com/img/2009/12/drake-hq6-artist-chart-vz1-53x53.jpg"
"top-artists","2009","27","","Akon","https://charts-static.billboard.com/img/2006/12/akon-5il-53x53.jpg"
"top-artists","2009","28","","JAY-Z","https://charts-static.billboard.com/img/2006/12/jay-z-g81-artist-chart-x1y-53x53.jpg"
"top-artists","2009","29","","Keri Hilson","https://charts-static.billboard.com/img/2007/12/keri-hilson-1r3-53x53.jpg"
"top-artists","2009","30","","Shinedown","https://charts-static.billboard.com/img/2006/12/shinedown-pjk-53x53.jpg"
"top-artists","2009","31","","Soulja Boy Tell'em","https://charts-static.billboard.com/img/2007/12/soulja-boy-4vz-53x53.jpg"
"top-artists","2009","32","","Keith Urban","https://charts-static.billboard.com/img/1840/12/keith-urban-9lg-53x53.jpg"
"top-artists","2009","33","","David Cook","https://charts-static.billboard.com/img/2008/12/david-cook-4hg-53x53.jpg"
"top-artists","2009","34","","T-Pain","https://charts-static.billboard.com/img/2006/12/t-pain-kj8-53x53.jpg"
"top-artists","2009","35","","Carrie Underwood","https://charts-static.billboard.com/img/1840/12/carrie-underwood-obd-53x53.jpg"
"top-artists","2009","36","","Jason Aldean","https://charts-static.billboard.com/img/2006/12/jason-aldean-sa0-53x53.jpg"
"top-artists","2009","37","","Daughtry","https://charts-static.billboard.com/img/1840/12/daughtry-c5r-53x53.jpg"
"top-artists","2009","38","","Green Day","https://charts-static.billboard.com/img/2016/12/green-day-53x53.jpg"
"top-artists","2009","39","","Lady A","https://charts-static.billboard.com/img/2017/07/lady-antebellum-53x53.jpg"
"top-artists","2009","40","","Sugarland","https://charts-static.billboard.com/img/1840/12/sugarland-nql-53x53.jpg"
"top-artists","2009","41","","Darius Rucker","https://charts-static.billboard.com/img/2008/12/darius-rucker-iex-53x53.jpg"
"top-artists","2009","42","","Kid Cudi","https://charts-static.billboard.com/img/2009/12/kid-cudi-f7w-53x53.jpg"
"top-artists","2009","43","","Kenny Chesney","https://charts-static.billboard.com/img/2017/06/kenny-chesney-53x53.jpg"
"top-artists","2009","44","","Coldplay","https://charts-static.billboard.com/img/2017/08/coldplay-53x53.jpg"
